pos_0,pos_1,pos_2,rot_0,rot_1,rot_2,velocity_0,velocity_1,velocity_2,angular_velocity_0,angular_velocity_1,angular_velocity_2,current_lap_time_msec,frame_count,course_v,steering,throttle,brake,slip_angle_0,slip_angle_1,slip_angle_2,slipangle_3,u_delta,u_a,X,Y,psi,vx,vy,dpsi,ey,epsi,s
349.421722,8.50376,506.277648,-0.009914,1.729905,-0.051114,29.137645,0.034007,-5.439662,0.018134,-0.419612,-0.154038,1683,101,2333.453369,0.058181,1.0,0.0,0.081075,0.053674,0.029043,0.052058,0.11111929571030035,0.9999999999984059,349.421722,506.277648,-0.1591086732051039,29.631454632471833,-0.7544369980539054,0.419612,-2.2192209899723205,-0.06740285158044035,2329.1533689999997
350.884613,8.505933,506.023345,-0.010088,1.709403,-0.056744,29.273414,0.046592,-4.900173,0.0185,-0.403934,-0.097879,1733,104,2334.935058,0.058181,1.0,0.0,0.085603,0.057358,0.031066,0.054805,0.11111929571030502,0.9999999999998652,350.884613,506.023345,-0.13860667320510345,29.669690272460773,-0.8086666690123989,0.403934,-2.342190420054662,-0.04563054108273068,2330.635058
352.354095,8.508565,505.796478,-0.010339,1.689683,-0.059687,29.403738,0.055891,-4.347583,0.017605,-0.388567,-0.046133,1783,107,2336.421142,0.058181,1.0,0.0,0.088884,0.05992,0.031879,0.056114,0.11111929571030268,0.9999999999993542,352.354095,505.796478,-0.11888667320510393,29.711838778576244,-0.8294110623966802,0.388567,-2.439980657176356,-0.02434267361948539,2332.121142
353.829895,8.511502,505.597381,-0.010594,1.670725,-0.060506,29.527204,0.058697,-3.794212,0.017899,-0.373362,-0.009775,1833,110,2337.910888,0.058181,1.0,0.0,0.090907,0.061377,0.031653,0.056107,0.1111192957103029,0.9999999999993514,353.829895,505.597381,-0.09992867320510346,29.758421021039016,-0.8295776595010338,0.373362,-2.511083541173134,-0.003911670765791797,2333.6108879999997
355.806762,8.515258,505.374664,-0.010893,1.646352,-0.060458,29.679153,0.054632,-3.06485,0.01725,-0.360843,-0.00069,1900,114,2339.902587,0.058181,1.0,0.0,0.091899,0.061849,0.030395,0.054966,0.11111929571020111,0.999999999968518,355.806762,505.374664,-0.0755556732051037,29.825825744753864,-0.8158106174147419,0.360843,-2.5642948519482105,0.022142437890515593,2335.602587
358.789489,8.520656,505.131378,-0.011551,1.610543,-0.059884,29.877347,0.053945,-1.979363,0.013856,-0.355966,0.001352,2000,120,2342.898681,0.058181,1.0,0.0,0.09184,0.061242,0.028625,0.053291,0.11111929571030438,0.9999999999997764,358.789489,505.131378,-0.03974667320510328,29.932402401156352,-0.7905872117782589,0.355966,-2.5558457874658247,0.05991432933143673,2338.598681
360.287719,8.523307,505.050201,-0.011871,1.59283,-0.059309,29.962526,0.052258,-1.443576,0.01522,-0.352518,0.008648,2050,123,2344.399414,0.058181,1.0,0.0,0.092088,0.061177,0.028077,0.052799,0.11111929571010676,0.999999999977203,360.287719,505.050201,-0.022033673205103632,29.987057857656247,-0.7830945090018592,0.352518,-2.5124039021791402,0.07833772009168694,2340.099414
362.291412,8.526663,504.983551,-0.012175,1.569328,-0.058594,30.06129,0.047876,-0.734118,0.017518,-0.351086,0.007531,2116,127,2346.401611,0.058181,1.0,0.0,0.092089,0.060919,0.027491,0.052159,0.11111929570999436,0.999999999969193,362.291412,504.983551,0.0014683267948965018,30.06017966943937,-0.7782569903623427,0.351086,-2.413521882341774,0.10259893252531133,2342.1016109999996
364.301055,8.529301,504.963684,-0.012027,1.546107,-0.057655,30.143678,0.035626,-0.034177,0.024598,-0.346289,0.007608,2183,131,2348.404052,0.058181,1.0,0.0,0.092539,0.06109,0.027144,0.051792,0.11111929571000793,0.9999999999821345,364.301055,504.963684,0.02468932679489666,30.133647512024726,-0.7783180943927296,0.346289,-2.2700929228056106,0.12650411260972275,2344.1040519999997
366.315399,8.530886,504.990386,-0.0116,1.522868,-0.056889,30.20829,0.014949,0.657925,0.02911,-0.345653,0.009789,2250,135,2350.405761,0.058181,1.0,0.0,0.092992,0.06122,0.027121,0.051785,0.11111929570940189,0.9999999999629334,366.315399,504.990386,0.04792832679489645,30.205121712752824,-0.7901090731747337,0.345653,-2.0848520413026344,0.15054821264145596,2346.105761
368.333435,8.53103,505.063262,-0.010782,1.499741,-0.056192,30.256797,-0.007145,1.351243,0.031904,-0.346919,0.005214,2316,139,2352.404785,0.058181,1.0,0.0,0.093401,0.061435,0.027069,0.05172,0.11111929570998037,0.9999999999883258,368.333435,505.063262,0.07105532679489657,30.276380213734562,-0.8002646422528876,0.346919,-1.8617765321247726,0.1749672596308469,2348.104785
